   PID TTY          TIME CMD
   895 ?        00:00:03 systemd-udevd
   912 pts/13   00:00:00 vim
  1011 ?        00:00:00 irq/82-mei_me
  1061 ?        00:00:00 kvm-irqfd-clean
  1064 ?        00:00:00 xfs-buf/sda1
  1065 ?        00:00:00 xfs-data/sda1
  1066 ?        00:00:00 xfs-conv/sda1
  1067 ?        00:00:00 xfs-cil/sda1
  1068 ?        00:00:00 xfs-reclaim/sda
  1069 ?        00:00:00 xfs-log/sda1
  1070 ?        00:00:00 xfs-eofblocks/s
  1071 ?        00:00:00 xfsaild/sda1
  1150 ?        00:00:00 kdmflush
  1151 ?        00:00:00 bioset
  1153 ?        00:00:00 kdmflush
  1154 ?        00:00:00 bioset
  1164 ?        00:00:00 xfs-buf/dm-2
  1167 ?        00:00:00 xfs-data/dm-2
  1168 ?        00:00:00 xfs-conv/dm-2
  1169 ?        00:00:00 xfs-cil/dm-2
  1170 ?        00:00:00 xfs-reclaim/dm-
  1171 ?        00:00:00 xfs-log/dm-2
  1172 ?        00:00:00 xfs-eofblocks/d
  1174 ?        00:11:53 xfsaild/dm-2
  1183 ?        00:00:00 jbd2/dm-3-8
  1184 ?        00:00:00 ext4-rsv-conver
  1219 ?        00:00:49 auditd
  1221 ?        00:00:55 audispd
  1223 ?        00:00:36 sedispatch
  1227 ?        00:00:00 rpciod
  1228 ?        00:00:00 xprtiod
  1259 ?        00:00:00 kworker/17:1H
  1260 ?        00:00:01 kworker/14:1H
  1262 ?        00:00:03 sssd
  1269 ?        00:19:06 irqbalance
  1270 ?        00:00:04 rpcbind
  1271 ?        00:04:40 dbus-daemon
  1274 ?        00:00:02 gssproxy
  1275 ?        00:00:10 chronyd
  1292 ?        00:00:00 kworker/19:1H
  1300 ?        00:00:39 polkitd
  1324 ?        00:02:42 firewalld
  1332 ?        01:29:41 sssd_be
  1338 ?        00:24:20 sssd_nss
  1339 ?        00:01:26 sssd_pam
  1340 ?        00:30:24 sssd_autofs
  1341 ?        00:00:16 sssd_ssh
  1342 ?        00:02:34 systemd-logind
  1348 ?        00:00:52 NetworkManager
  1431 ?        00:00:01 kworker/16:1H
  1454 ?        00:00:01 kworker/22:1H
  1468 ?        00:00:01 kworker/4:1H
  1473 ?        00:00:01 kworker/10:1H
  1479 ?        00:00:00 dhclient
  1484 ?        00:00:00 kworker/1:1H
  1490 ?        00:00:00 kworker/12:1H
  1491 ?        00:00:01 kworker/0:1H
  1492 ?        00:00:01 kworker/2:1H
  1685 ?        00:03:08 tuned
  1686 ?        1-12:48:36 node_exporter
  1687 ?        00:01:41 puppet
  1688 ?        01:00:17 python
  1690 ?        00:01:22 sshd
  1691 ?        00:00:00 cupsd
  1697 ?        00:02:50 rsyslogd
  1700 ?        00:00:00 rhsmcertd
  1701 ?        1-20:01:38 metricbeat
  1705 ?        00:00:00 rpc.statd
  1710 ?        02:06:44 f2b/server
  1812 ?        00:00:01 kworker/18:1H
  1813 ?        00:00:01 kworker/20:1H
  2029 ?        00:00:20 master
  2034 ?        00:00:08 qmgr
  2187 ?        00:00:01 kworker/6:1H
  2188 ?        00:00:01 kworker/8:1H
  2202 ?        00:00:00 sshd
  2205 ?        00:00:00 nfsiod
  2212 ?        00:00:00 kworker/28:1H
  2213 ?        00:00:00 lockd
  2218 ?        00:34:54 automount
  2228 ?        00:00:00 atd
  2229 ?        00:00:36 crond
  2273 tty1     00:00:00 agetty
  2290 ?        00:00:02 sshd
  2291 pts/41   00:00:00 bash
  2587 ?        00:00:00 sh
  2594 ?        00:00:01 node
  2732 ?        00:00:00 kworker/34:1H
  2861 ?        01:45:19 kworker/36:1H
  2862 ?        00:00:00 kworker/26:1H
  3213 ?        00:00:00 kworker/31:1H
  3274 ?        00:00:00 kworker/7:1H
  3288 ?        00:00:00 kworker/27:1H
  3308 ?        00:00:00 kworker/11:1H
  3309 ?        00:00:00 kworker/13:1H
  3580 ?        00:00:00 kworker/15:1H
  3581 ?        00:00:00 kworker/32:1H
  3591 ?        00:00:00 kworker/30:1H
  3680 ?        00:00:00 kworker/5:1H
  3752 ?        00:00:00 kworker/41:1H
  4276 ?        00:00:00 svnserve
  4368 ?        00:00:00 kworker/3:1H
  4441 ?        00:00:00 kworker/21:1H
  4663 ?        00:00:00 kworker/33:1H
  5266 ?        00:00:00 kworker/23:1H
  6089 ?        00:00:00 kworker/37:1H
  6774 ?        00:00:00 kworker/42:1H
  7497 ?        00:00:26 tmux
  7498 pts/73   00:00:00 bash
  9738 ?        00:00:00 sshd
  9767 ?        00:00:00 sshd
  9768 pts/40   00:00:00 bash
 10487 ?        00:00:00 sshd
 10510 ?        00:00:05 sshd
 10512 pts/47   00:00:00 bash
 11642 ?        00:00:00 sshd
 11649 ?        00:00:00 sshd
 11650 ?        00:00:00 sftp-server
 13598 ?        00:00:00 sshd
 13600 ?        00:00:00 sshd
 14233 ?        00:00:00 sftp-server
 18201 ?        00:00:00 sshd
 18214 ?        00:00:03 sshd
 18809 ?        00:00:04 tmux
 18810 pts/46   00:00:00 bash
 21445 ?        00:00:00 sshd
 21761 ?        00:00:00 sshd
 21762 pts/24   00:00:00 bash
 24185 ?        00:00:00 sshd
 24204 ?        00:00:01 sshd
 24205 pts/23   00:00:00 bash
 26415 ?        00:00:00 sshd
 26427 ?        00:00:00 sshd
 26428 pts/65   00:00:00 tcsh
 27596 pts/24   00:00:00 vim
 27911 ?        00:00:00 kworker/26:2
 28070 ?        00:00:00 kworker/30:2
 28403 ?        00:00:00 kworker/36:2
 28571 ?        00:00:00 sshd
 28588 ?        00:00:00 sshd
 28590 pts/2    00:00:00 bash
 29825 ?        00:00:00 kworker/33:1
 29949 ?        00:00:00 kworker/45:1H
 30180 ?        00:00:00 sshd
 30632 ?        00:00:00 sshd
 30643 pts/64   00:00:00 bash
 30876 ?        00:00:00 sshd
 30882 ?        00:00:00 sshd
